01/01/2021-00:00:06 | Sensor value: 176 | Plants got SOME water!
01/01/2021-00:30:06 | Sensor value: 38249 | Plants got NO water!
01/01/2021-01:00:06 | Sensor value: 38809 | Plants got NO water!
01/01/2021-01:30:06 | Sensor value: 39577 | Plants got NO water!
01/01/2021-02:00:06 | Sensor value: 39273 | Plants got NO water!
01/01/2021-02:30:06 | Sensor value: 39241 | Plants got NO water!
01/01/2021-03:00:06 | Sensor value: 39145 | Plants got NO water!
01/01/2021-03:30:06 | Sensor value: 39369 | Plants got NO water!
01/01/2021-04:00:06 | Sensor value: 39113 | Plants got NO water!
01/01/2021-04:30:06 | Sensor value: 39113 | Plants got NO water!
01/01/2021-05:00:06 | Sensor value: 39001 | Plants got NO water!
01/01/2021-05:30:06 | Sensor value: 38953 | Plants got NO water!
01/01/2021-06:00:06 | Sensor value: 38473 | Plants got NO water!
01/01/2021-06:30:06 | Sensor value: 38297 | Plants got NO water!
01/01/2021-07:00:06 | Sensor value: 38185 | Plants got NO water!
01/01/2021-07:30:06 | Sensor value: 38409 | Plants got NO water!
01/01/2021-08:00:06 | Sensor value: 37689 | Plants got NO water!
01/01/2021-08:30:06 | Sensor value: 37897 | Plants got NO water!
01/01/2021-09:00:06 | Sensor value: 37561 | Plants got NO water!
01/01/2021-09:30:06 | Sensor value: 37401 | Plants got NO water!
01/01/2021-10:00:07 | Sensor value: 37481 | Plants got NO water!
01/01/2021-10:30:07 | Sensor value: 37657 | Plants got NO water!
01/01/2021-11:00:07 | Sensor value: 37401 | Plants got NO water!
01/01/2021-11:30:07 | Sensor value: 37353 | Plants got NO water!
01/01/2021-12:00:07 | Sensor value: 37081 | Plants got NO water!
01/01/2021-12:30:07 | Sensor value: 37385 | Plants got NO water!
01/01/2021-13:00:07 | Sensor value: 37305 | Plants got NO water!
01/01/2021-13:30:07 | Sensor value: 37641 | Plants got NO water!
01/01/2021-14:00:07 | Sensor value: 37689 | Plants got NO water!
01/01/2021-14:30:07 | Sensor value: 37449 | Plants got NO water!
01/01/2021-15:00:07 | Sensor value: 37449 | Plants got NO water!
01/01/2021-15:30:07 | Sensor value: 37337 | Plants got NO water!
01/01/2021-16:00:07 | Sensor value: 37545 | Plants got NO water!
01/01/2021-16:30:07 | Sensor value: 37401 | Plants got NO water!
01/01/2021-17:00:07 | Sensor value: 37209 | Plants got NO water!
01/01/2021-17:30:07 | Sensor value: 37193 | Plants got NO water!
01/01/2021-18:00:08 | Sensor value: 37657 | Plants got NO water!
01/01/2021-18:30:08 | Sensor value: 37465 | Plants got NO water!
01/01/2021-19:00:08 | Sensor value: 37065 | Plants got NO water!
01/01/2021-19:30:08 | Sensor value: 37033 | Plants got NO water!
01/01/2021-20:00:08 | Sensor value: 37337 | Plants got NO water!
01/01/2021-20:30:08 | Sensor value: 37289 | Plants got NO water!
01/01/2021-21:00:08 | Sensor value: 37417 | Plants got NO water!
01/01/2021-21:30:08 | Sensor value: 37561 | Plants got NO water!
01/01/2021-22:00:08 | Sensor value: 37705 | Plants got NO water!
01/01/2021-22:30:08 | Sensor value: 37497 | Plants got NO water!
01/01/2021-23:00:08 | Sensor value: 37353 | Plants got NO water!
01/01/2021-23:30:08 | Sensor value: 37257 | Plants got NO water!
02/01/2021-00:00:08 | Sensor value: 37401 | Plants got NO water!
02/01/2021-00:30:08 | Sensor value: 37673 | Plants got NO water!
02/01/2021-01:00:08 | Sensor value: 37033 | Plants got NO water!
02/01/2021-01:30:09 | Sensor value: 37513 | Plants got NO water!
02/01/2021-02:00:09 | Sensor value: 37065 | Plants got NO water!
02/01/2021-02:30:09 | Sensor value: 37017 | Plants got NO water!
02/01/2021-03:00:09 | Sensor value: 37385 | Plants got NO water!
02/01/2021-03:30:09 | Sensor value: 37481 | Plants got NO water!
02/01/2021-04:00:09 | Sensor value: 37609 | Plants got NO water!
02/01/2021-04:30:09 | Sensor value: 37513 | Plants got NO water!
02/01/2021-05:00:09 | Sensor value: 37673 | Plants got NO water!
02/01/2021-05:30:09 | Sensor value: 36953 | Plants got NO water!
02/01/2021-06:00:09 | Sensor value: 37321 | Plants got NO water!
02/01/2021-06:30:09 | Sensor value: 37145 | Plants got NO water!
02/01/2021-07:00:09 | Sensor value: 37289 | Plants got NO water!
02/01/2021-07:30:09 | Sensor value: 37545 | Plants got NO water!
02/01/2021-08:00:09 | Sensor value: 36985 | Plants got NO water!
02/01/2021-08:30:10 | Sensor value: 37081 | Plants got NO water!
02/01/2021-09:00:10 | Sensor value: 37001 | Plants got NO water!
02/01/2021-09:30:10 | Sensor value: 36873 | Plants got NO water!
02/01/2021-10:00:10 | Sensor value: 37081 | Plants got NO water!
02/01/2021-10:30:10 | Sensor value: 36937 | Plants got NO water!
02/01/2021-11:00:10 | Sensor value: 37129 | Plants got NO water!
02/01/2021-11:30:10 | Sensor value: 36840 | Plants got NO water!
02/01/2021-12:00:10 | Sensor value: 36792 | Plants got NO water!
02/01/2021-12:30:10 | Sensor value: 37257 | Plants got NO water!
02/01/2021-13:00:10 | Sensor value: 37193 | Plants got NO water!
02/01/2021-13:30:10 | Sensor value: 36856 | Plants got NO water!
02/01/2021-14:00:10 | Sensor value: 36905 | Plants got NO water!
02/01/2021-14:30:10 | Sensor value: 36953 | Plants got NO water!
02/01/2021-15:00:10 | Sensor value: 37305 | Plants got NO water!
02/01/2021-15:30:10 | Sensor value: 37049 | Plants got NO water!
02/01/2021-16:00:10 | Sensor value: 37385 | Plants got NO water!
02/01/2021-16:30:10 | Sensor value: 37097 | Plants got NO water!
02/01/2021-17:00:10 | Sensor value: 37337 | Plants got NO water!
02/01/2021-17:30:11 | Sensor value: 36760 | Plants got NO water!
02/01/2021-18:00:11 | Sensor value: 36889 | Plants got NO water!
02/01/2021-18:30:11 | Sensor value: 36953 | Plants got NO water!
02/01/2021-19:00:11 | Sensor value: 37369 | Plants got NO water!
02/01/2021-19:30:11 | Sensor value: 36905 | Plants got NO water!
